wName2,wTrueRank2,wEstRank2,wTrueBin2,wEstBin2
736,434,369,1,1
737,435,20,1,1
738,436,378,1,1
739,437,215,1,1
740,438,360,1,1
741,439,630,1,2
742,440,852,1,2
744,441,379,1,1
746,442,477,1,1
748,443,149,1,1
749,444,226,1,1
752,445,843,1,2
753,446,79,1,1
755,447,339,1,1
756,448,609,1,2
757,449,520,1,1
759,450,405,1,1
761,451,257,1,1
764,452,621,1,2
766,453,297,1,1
768,454,305,1,1
769,455,412,1,1
770,456,647,1,2
772,457,888,1,2
773,458,229,1,1
774,459,119,1,1
776,460,173,1,1
778,461,231,1,1
779,462,161,1,1
780,463,86,1,1
781,464,96,1,1
782,465,885,1,2
786,466,853,1,2
790,467,197,1,1
792,468,46,1,1
793,469,178,1,1
794,470,47,1,1
799,471,553,1,1
800,472,82,1,1
802,473,175,1,1
803,474,413,1,1
804,475,436,1,1
807,476,377,1,1
809,477,70,1,1
810,478,734,1,2
811,479,340,1,1
812,480,817,1,2
813,481,139,1,1
818,482,356,1,1
819,483,341,1,1
821,484,261,1,1
822,485,544,1,1
823,486,167,1,1
824,487,598,1,1
826,488,425,1,1
828,489,854,1,2
829,490,41,1,1
830,491,844,1,2
833,492,574,1,1
834,493,589,1,1
836,494,555,1,1
838,495,39,1,1
840,496,45,1,1
841,497,450,1,1
843,498,267,1,1
844,499,478,1,1
845,500,521,1,1
851,501,889,1,2
852,502,531,1,1
853,503,22,1,1
854,504,399,1,1
856,505,414,1,1
859,506,152,1,1
860,507,274,1,1
861,508,567,1,1
862,509,719,1,2
864,510,342,1,1
865,511,542,1,1
868,512,97,1,1
869,513,669,1,2
872,514,343,1,1
874,515,479,1,1
875,516,263,1,1
878,517,545,1,1
879,518,554,1,1
880,519,78,1,1
883,520,616,1,2
885,521,526,1,1
890,522,317,1,1
891,523,864,1,2
892,524,164,1,1
894,525,192,1,1
895,526,655,1,2
896,527,292,1,1
897,528,490,1,1
898,529,384,1,1
901,530,209,1,1
902,531,370,1,1
904,532,487,1,1
905,533,43,1,1
906,534,347,1,1
909,535,375,1,1
910,536,845,1,2
911,537,720,1,2
912,538,828,1,2
913,539,89,1,1
914,540,855,1,2
915,541,417,1,1
917,542,663,1,2
918,543,451,1,1
921,544,189,1,1
922,545,190,1,1
923,546,8,1,1
925,547,846,1,2
926,548,522,1,1
927,549,491,1,1
928,550,76,1,1
929,551,639,1,2
931,552,107,1,1
932,553,528,1,1
933,554,168,1,1
934,555,25,1,1
936,556,861,1,2
937,557,40,1,1
938,558,389,1,1
939,559,249,1,1
940,560,856,1,2
941,561,77,1,1
942,562,636,1,2
943,563,401,1,1
944,564,540,1,1
947,565,653,1,2
948,566,818,1,2
950,567,483,1,1
951,568,447,1,1
952,569,819,1,2
953,570,523,1,1
957,571,241,1,1
958,572,258,1,1
959,573,329,1,1
961,574,671,1,2
962,575,486,1,1
964,576,129,1,1
967,577,188,1,1
969,578,59,1,1
971,579,295,1,1
973,580,13,1,1
974,581,312,1,1
975,582,657,1,2
977,583,829,1,2
979,584,334,1,1
980,585,66,1,1
981,586,374,1,1
982,587,398,1,1
983,588,393,1,1
984,589,710,1,2
985,590,651,1,2
986,591,154,1,1
987,592,551,1,1
988,593,136,1,1
991,594,148,1,1
993,595,517,1,1
994,596,111,1,1
995,597,376,1,1
996,598,118,1,1
999,599,11,1,1
1000,600,273,1,1
1001,601,1164,2,2
1003,602,983,2,2
1004,603,1292,2,3
1005,604,1087,2,2
1008,605,974,2,2
1009,606,571,2,1
1011,607,805,2,2
1012,608,260,2,1
1015,609,1334,2,3
1016,610,898,2,2
1018,611,559,2,1
1020,612,949,2,2
1021,613,1215,2,3
1022,614,628,2,2
1024,615,1216,2,3
1025,616,742,2,2
1026,617,1108,2,2
1027,618,501,2,1
1028,619,358,2,1
1029,620,373,2,1
1030,621,307,2,1
1031,622,481,2,1
1032,623,603,2,2
1033,624,1217,2,3
1034,625,620,2,2
1037,626,686,2,2
1039,627,142,2,1
1040,628,1295,2,3
1041,629,1318,2,3
1042,630,906,2,2
1045,631,480,2,1
1046,632,1218,2,3
1047,633,42,2,1
1048,634,464,2,1
1049,635,1336,2,3
1051,636,459,2,1
1054,637,1091,2,2
1055,638,716,2,2
1056,639,915,2,2
1058,640,931,2,2
1059,641,787,2,2
1060,642,789,2,2
